component_id,mean,sum,count,min,max
4056,3.888489,4.000000,0.972122,0.972122,0.972122
2371,3.849753,4.000000,0.962438,0.962438,0.962438
2372,3.983607,4.000000,0.995902,0.995902,0.995902
2379,3.979694,4.000000,0.994924,0.994924,0.994924
2593,4.000000,4.000000,1.000000,1.000000,1.000000
2760,3.869890,4.000000,0.967472,0.967472,0.967472
3627,3.999997,4.000000,0.999999,0.999999,0.999999
2400,3.962602,4.000000,0.990650,0.990650,0.990650
2403,3.968724,4.000000,0.992181,0.992181,0.992181
2404,7.819013,8.000000,0.977377,0.967925,0.986828
2410,3.855284,4.000000,0.963821,0.963821,0.963821
2414,3.869098,4.000000,0.967275,0.967275,0.967275
3297,3.860374,4.000000,0.965093,0.965093,0.965093
2581,4.000000,4.000000,1.000000,1.000000,1.000000
3092,4.000000,4.000000,1.000000,1.000000,1.000000
3611,3.867558,4.000000,0.966890,0.966890,0.966890
3287,3.955630,4.000000,0.988907,0.988907,0.988907
3078,3.884782,4.000000,0.971195,0.971195,0.971195
2482,3.869148,4.000000,0.967287,0.967287,0.967287
2489,3.906053,4.000000,0.976513,0.976513,0.976513
3595,3.856905,4.000000,0.964226,0.964226,0.964226
2641,3.922812,4.000000,0.980703,0.980703,0.980703
3156,40.701344,42.000000,0.969080,0.960345,0.977363
2514,4.000000,4.000000,1.000000,1.000000,1.000000
2516,3.999999,4.000000,1.000000,1.000000,1.000000
2729,3.999999,4.000000,1.000000,1.000000,1.000000
3902,3.999263,4.000000,0.999816,0.999816,0.999816
2527,4.000000,4.000000,1.000000,1.000000,1.000000
3901,3.999655,4.000000,0.999914,0.999914,0.999914
2530,3.999999,4.000000,1.000000,1.000000,1.000000
3142,21.519567,22.000000,0.978162,0.960665,1.000000
2633,4.000000,4.000000,1.000000,1.000000,1.000000
2556,4.000000,4.000000,1.000000,1.000000,1.000000
4017,4.000000,4.000000,1.000000,1.000000,1.000000
2580,4.000000,4.000000,1.000000,1.000000,1.000000
2582,3.999999,4.000000,1.000000,1.000000,1.000000
3977,7.736517,8.000000,0.967065,0.963573,0.970556
2638,3.942516,4.000000,0.985629,0.985629,0.985629
2654,3.850535,4.000000,0.962634,0.962634,0.962634
3999,3.898891,4.000000,0.974723,0.974723,0.974723
4071,29.999996,30.000000,1.000000,1.000000,1.000000
2689,3.840123,4.000000,0.960031,0.960031,0.960031
2690,3.999997,4.000000,0.999999,0.999999,0.999999
2691,4.000000,4.000000,1.000000,1.000000,1.000000
2695,4.000000,4.000000,1.000000,1.000000,1.000000
3900,3.999230,4.000000,0.999808,0.999808,0.999808
3109,3.985703,4.000000,0.996426,0.996426,0.996426
2773,3.898918,4.000000,0.974730,0.974730,0.974730
3966,3.864532,4.000000,0.966133,0.966133,0.966133
2799,3.987742,4.000000,0.996936,0.996936,0.996936
3910,15.931982,16.000000,0.995749,0.991564,0.999888
3916,3.999755,4.000000,0.999939,0.999939,0.999939
3202,3.927330,4.000000,0.981832,0.981832,0.981832
2842,3.964287,4.000000,0.991072,0.991072,0.991072
2843,3.979081,4.000000,0.994770,0.994770,0.994770
2848,15.495253,16.000000,0.968453,0.960881,0.975513
3322,11.686782,12.000000,0.973898,0.960888,0.996236
3833,3.999675,4.000000,0.999919,0.999919,0.999919
3298,7.741190,8.000000,0.967649,0.963909,0.971388
2943,3.904010,4.000000,0.976003,0.976003,0.976003
3694,3.984017,4.000000,0.996004,0.996004,0.996004
3596,3.914004,4.000000,0.978501,0.978501,0.978501
3033,4.000000,4.000000,1.000000,1.000000,1.000000
3050,3.999999,4.000000,1.000000,1.000000,1.000000
3093,4.000000,4.000000,1.000000,1.000000,1.000000
3920,3.999680,4.000000,0.999920,0.999920,0.999920
3169,3.904796,4.000000,0.976199,0.976199,0.976199
3992,3.867059,4.000000,0.966765,0.966765,0.966765
3204,3.879709,4.000000,0.969927,0.969927,0.969927
4378,3.843791,4.000000,0.960948,0.960948,0.960948
3949,11.615663,12.000000,0.967972,0.965349,0.970592
3267,7.819338,8.000000,0.977417,0.968509,0.986326
3312,4.000000,4.000000,1.000000,1.000000,1.000000
3320,3.868610,4.000000,0.967153,0.967153,0.967153
3832,3.999390,4.000000,0.999848,0.999848,0.999848
3484,3.887148,4.000000,0.971787,0.971787,0.971787
3493,3.903155,4.000000,0.975789,0.975789,0.975789
3540,3.866130,4.000000,0.966533,0.966533,0.966533
3582,3.999973,4.000000,0.999993,0.999993,0.999993
3600,4.000000,4.000000,1.000000,1.000000,1.000000
3658,25.146896,26.000000,0.967188,0.960868,0.976835
3711,3.965282,4.000000,0.991320,0.991320,0.991320
3850,3.999363,4.000000,0.999841,0.999841,0.999841
3898,3.999604,4.000000,0.999901,0.999901,0.999901
3903,3.999128,4.000000,0.999782,0.999782,0.999782
3973,3.863035,4.000000,0.965759,0.965759,0.965759
4720,3.932246,4.000000,0.983061,0.983061,0.983061
4098,3.966656,4.000000,0.991664,0.991664,0.991664
4134,3.999990,4.000000,0.999998,0.999998,0.999998
4142,3.907905,4.000000,0.976976,0.976976,0.976976
4228,3.955847,4.000000,0.988962,0.988962,0.988962
4239,3.957471,4.000000,0.989368,0.989368,0.989368
4244,3.884930,4.000000,0.971233,0.971233,0.971233
4264,4.000000,4.000000,1.000000,1.000000,1.000000
4324,3.973024,4.000000,0.993256,0.993256,0.993256
4325,70.020073,72.000000,0.972501,0.960154,1.000000
4327,3.999995,4.000000,0.999999,0.999999,0.999999
4328,3.999910,4.000000,0.999977,0.999977,0.999977
4329,4.000000,4.000000,1.000000,1.000000,1.000000
4330,3.999928,4.000000,0.999982,0.999982,0.999982
4331,3.999984,4.000000,0.999996,0.999996,0.999996
4332,3.999970,4.000000,0.999992,0.999992,0.999992
4333,3.848488,4.000000,0.962122,0.962122,0.962122
4339,3.879855,4.000000,0.969964,0.969964,0.969964
4380,3.849678,4.000000,0.962420,0.962420,0.962420
4401,3.926220,4.000000,0.981555,0.981555,0.981555
4406,3.999310,4.000000,0.999828,0.999828,0.999828
4423,3.846694,4.000000,0.961673,0.961673,0.961673
4425,11.561369,12.000000,0.963447,0.960046,0.968663
4453,3.865112,4.000000,0.966278,0.966278,0.966278
4467,3.848660,4.000000,0.962165,0.962165,0.962165
4481,4.000000,4.000000,1.000000,1.000000,1.000000
4486,4.000000,4.000000,1.000000,1.000000,1.000000
4492,3.905780,4.000000,0.976445,0.976445,0.976445
4495,3.986450,4.000000,0.996613,0.996613,0.996613
4498,11.563712,12.000000,0.963643,0.960501,0.969082
4665,3.844637,4.000000,0.961159,0.961159,0.961159
4564,7.734909,8.000000,0.966864,0.966113,0.967614
4592,3.881744,4.000000,0.970436,0.970436,0.970436
4593,3.862585,4.000000,0.965646,0.965646,0.965646
4598,3.846503,4.000000,0.961626,0.961626,0.961626
4599,13.528656,14.000000,0.966333,0.960673,0.969042
4606,3.867970,4.000000,0.966993,0.966993,0.966993
