index,filename,cluster,distance
4537,dataset\20. ememes\ememes0004740.jpg,8,747.913757
7310,dataset\20. ememes\ememes0007759.jpg,12,747.636475
225,dataset\20. ememes\ememes0000225.jpg,6,747.024902
10501,dataset\20. ememes\ememes0011325.jpg,10,746.825073
10013,dataset\20. ememes\ememes0010777.jpg,12,746.138733
10573,dataset\20. ememes\ememes0011402.jpg,12,746.095886
5307,dataset\20. ememes\ememes0005601.jpg,9,745.562561
9130,dataset\20. ememes\ememes0009745.jpg,6,744.555847
3080,dataset\20. ememes\ememes0003121.jpg,3,744.404175
672,dataset\20. ememes\ememes0000673.jpg,14,744.398682
11231,dataset\20. ememes\ememes0012186.jpg,17,744.331421
4609,dataset\20. ememes\ememes0004830.jpg,14,744.206970
5270,dataset\20. ememes\ememes0005562.jpg,1,743.143372
9050,dataset\20. ememes\ememes0009658.jpg,19,742.233826
1651,dataset\20. ememes\ememes0001665.jpg,1,742.130249
8678,dataset\20. ememes\ememes0009235.jpg,12,741.931274
11712,dataset\20. ememes\ememes0012766.jpg,12,741.609680
673,dataset\20. ememes\ememes0000674.jpg,8,740.867432
5693,dataset\20. ememes\ememes0006020.jpg,3,740.795166
11607,dataset\20. ememes\ememes0012630.jpg,12,740.441528
1003,dataset\20. ememes\ememes0001006.jpg,6,740.142639
1429,dataset\20. ememes\ememes0001438.jpg,3,739.981140
1529,dataset\20. ememes\ememes0001539.jpg,9,739.685669
10540,dataset\20. ememes\ememes0011367.jpg,12,739.530273
8963,dataset\20. ememes\ememes0009562.jpg,10,739.231873
8724,dataset\20. ememes\ememes0009287.jpg,19,738.143188
324,dataset\20. ememes\ememes0000324.jpg,8,738.067871
8024,dataset\20. ememes\ememes0008541.jpg,10,737.773499
9455,dataset\20. ememes\ememes0010129.jpg,3,737.491638
380,dataset\20. ememes\ememes0000380.jpg,3,737.416931
4900,dataset\20. ememes\ememes0005148.jpg,19,737.016479
9436,dataset\20. ememes\ememes0010106.jpg,12,736.908081
9350,dataset\20. ememes\ememes0010004.jpg,1,736.907043
1194,dataset\20. ememes\ememes0001197.jpg,14,736.095276
5564,dataset\20. ememes\ememes0005883.jpg,9,734.862854
2526,dataset\20. ememes\ememes0002551.jpg,4,734.328369
767,dataset\20. ememes\ememes0000768.jpg,14,734.238037
243,dataset\20. ememes\ememes0000243.jpg,6,733.961548
8930,dataset\20. ememes\ememes0009524.jpg,12,733.793091
8950,dataset\20. ememes\ememes0009546.jpg,6,733.567383
3601,dataset\20. ememes\ememes0003743.jpg,14,733.159424
7453,dataset\20. ememes\ememes0007917.jpg,1,732.952759
314,dataset\20. ememes\ememes0000314.jpg,8,732.423462
376,dataset\20. ememes\ememes0000376.jpg,8,732.232910
10858,dataset\20. ememes\ememes0011729.jpg,12,732.114014
4883,dataset\20. ememes\ememes0005130.jpg,5,731.938599
4452,dataset\20. ememes\ememes0004645.jpg,2,730.899658
345,dataset\20. ememes\ememes0000345.jpg,14,730.841553
9334,dataset\20. ememes\ememes0009981.jpg,2,730.737305
9814,dataset\20. ememes\ememes0010544.jpg,4,730.663940
6771,dataset\20. ememes\ememes0007178.jpg,1,729.793457
10700,dataset\20. ememes\ememes0011543.jpg,12,729.449341
7883,dataset\20. ememes\ememes0008379.jpg,3,729.293213
5893,dataset\20. ememes\ememes0006244.jpg,14,729.171814
4957,dataset\20. ememes\ememes0005210.jpg,1,729.008789
4247,dataset\20. ememes\ememes0004433.jpg,3,728.988831
7098,dataset\20. ememes\ememes0007525.jpg,1,728.819824
7054,dataset\20. ememes\ememes0007475.jpg,2,728.750793
1229,dataset\20. ememes\ememes0001232.jpg,14,728.351685
9683,dataset\20. ememes\ememes0010392.jpg,4,728.116943
10912,dataset\20. ememes\ememes0011788.jpg,12,727.506409
8596,dataset\20. ememes\ememes0009147.jpg,1,727.498657
10137,dataset\20. ememes\ememes0010915.jpg,12,727.234985
702,dataset\20. ememes\ememes0000703.jpg,3,726.854492
8417,dataset\20. ememes\ememes0008958.jpg,1,726.562744
1281,dataset\20. ememes\ememes0001285.jpg,12,725.984619
10749,dataset\20. ememes\ememes0011603.jpg,3,725.751099
9543,dataset\20. ememes\ememes0010233.jpg,12,724.796570
11845,dataset\20. ememes\ememes0012917.jpg,9,724.689209
698,dataset\20. ememes\ememes0000699.jpg,16,724.660278
10100,dataset\20. ememes\ememes0010877.jpg,12,724.200256
1753,dataset\20. ememes\ememes0001767.jpg,12,723.961487
1326,dataset\20. ememes\ememes0001331.jpg,12,723.921265
4970,dataset\20. ememes\ememes0005224.jpg,19,723.828613
443,dataset\20. ememes\ememes0000443.jpg,0,723.664185
3223,dataset\20. ememes\ememes0003271.jpg,19,722.870361
732,dataset\20. ememes\ememes0000733.jpg,14,722.841553
7023,dataset\20. ememes\ememes0007443.jpg,1,722.450378
9187,dataset\20. ememes\ememes0009809.jpg,19,722.170593
6461,dataset\20. ememes\ememes0006846.jpg,12,721.405151
5062,dataset\20. ememes\ememes0005326.jpg,19,721.323608
8137,dataset\20. ememes\ememes0008658.jpg,16,721.085693
190,dataset\20. ememes\ememes0000190.jpg,16,721.080811
10815,dataset\20. ememes\ememes0011681.jpg,12,720.949341
3074,dataset\20. ememes\ememes0003115.jpg,1,720.858643
602,dataset\20. ememes\ememes0000602.jpg,14,720.725525
4989,dataset\20. ememes\ememes0005246.jpg,9,720.512695
397,dataset\20. ememes\ememes0000397.jpg,14,720.349854
9856,dataset\20. ememes\ememes0010591.jpg,19,719.974365
4115,dataset\20. ememes\ememes0004297.jpg,14,719.539246
