index,filename,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
147,dataset\20. ememes\ememes0000147.jpg,1200,1333,256,1953.9954,58.9872,0.0000,255.0000,69.0554,533241,1.0000
148,dataset\20. ememes\ememes0000148.jpg,1200,1333,256,5796.3149,81.2733,0.0000,255.0000,66.5360,759494,1.0000
149,dataset\20. ememes\ememes0000149.jpg,600,667,249,567.1305,55.3633,0.0000,255.0000,41.4173,183906,1.0000
150,dataset\20. ememes\ememes0000150.jpg,600,1000,256,2269.9009,72.4451,0.0000,255.0000,62.8081,319815,1.0000
151,dataset\20. ememes\ememes0000151.jpg,600,667,256,3149.7854,88.8449,0.0000,255.0000,79.4995,198035,1.0000
152,dataset\20. ememes\ememes0000152.jpg,600,667,256,1091.9667,52.8069,0.0000,255.0000,45.2047,179754,1.0000
153,dataset\20. ememes\ememes0000153.jpg,600,667,256,2415.8916,58.9123,0.0000,255.0000,61.2574,186755,1.0000
154,dataset\20. ememes\ememes0000154.jpg,600,1000,256,2851.7146,85.7076,0.0000,255.0000,58.9775,345670,1.0000
155,dataset\20. ememes\ememes0000155.jpg,600,1000,256,1953.4634,82.6634,0.0000,255.0000,56.3589,314737,1.0000
156,dataset\20. ememes\ememes0000156.jpg,400,400,256,3028.4646,64.7330,0.0000,255.0000,54.6856,63724,1.0000
157,dataset\20. ememes\ememes0000157.jpg,600,333,256,6875.2856,62.9417,0.0000,255.0000,65.0768,178937,1.0000
158,dataset\20. ememes\ememes0000158.jpg,600,1000,256,6821.3213,61.3542,0.0000,255.0000,64.6318,383155,1.0000
159,dataset\20. ememes\ememes0000159.jpg,600,667,256,1624.4098,40.7796,0.0000,255.0000,44.9149,208613,1.0000
160,dataset\20. ememes\ememes0000160.jpg,600,1000,256,4859.6118,73.1867,0.0000,255.0000,80.0444,335700,1.0000
161,dataset\20. ememes\ememes0000161.jpg,600,667,256,3092.2915,38.0924,0.0000,255.0000,51.6201,192234,1.0000
162,dataset\20. ememes\ememes0000162.jpg,600,1000,256,3153.2451,38.0550,0.0000,255.0000,45.0391,229697,1.0000
163,dataset\20. ememes\ememes0000163.jpg,600,667,256,1829.0685,62.0742,0.0000,255.0000,58.5875,148467,1.0000
